id	Question	Gold answers	Model answer	Acceptable?	BEM probs per gold answer
180	when was the miraculous journey of edward tulane published	"2006 | March 30, 2006"	2006	Yes	"[[0.010451813228428364, 0.9895482659339905], [0.49367815256118774, 0.5063218474388123]]"
181	when was the miraculous journey of edward tulane published	"2006 | March 30, 2006"	The Miraculous Journey of Edward Tulane was published in 2006.	Yes	"[[0.01145731657743454, 0.9885426759719849], [0.2584518790245056, 0.7415480017662048]]"
182	who has the most 70 point games in nba history	"Wilt Chamberlain | Chamberlain, Wilt | Booker, Devin | Wilt Chamberlain*"	David Robinson	No	"[[0.9594013690948486, 0.040598612278699875], [0.9492897987365723, 0.05071018636226654], [0.9603819847106934, 0.03961803391575813], [0.9436249732971191, 0.05637499317526817]]"
183	who has the most 70 point games in nba history	"Wilt Chamberlain | Chamberlain, Wilt | Booker, Devin | Wilt Chamberlain*"	wilt chamberlain	Yes	"[[0.008939887396991253, 0.9910601377487183], [0.021286770701408386, 0.97871333360672], [0.9639550447463989, 0.03604494780302048], [0.03124465048313141, 0.9687553644180298]]"
184	who has the most 70 point games in nba history	"Wilt Chamberlain | Chamberlain, Wilt | Booker, Devin | Wilt Chamberlain*"	David Thompson	No	"[[0.9603427648544312, 0.039657123386859894], [0.9501853585243225, 0.04981460049748421], [0.9555941224098206, 0.04440590366721153], [0.9453339576721191, 0.05466610938310623]]"
185	who has the most 70 point games in nba history	"Wilt Chamberlain | Chamberlain, Wilt | Booker, Devin | Wilt Chamberlain*"	Wilt Chamberlain has the most 70 point games in NBA history with 32.	Yes	"[[0.00984571035951376, 0.9901543855667114], [0.011235342361032963, 0.9887645840644836], [0.9254545569419861, 0.07454536855220795], [0.021107586100697517, 0.97889244556427]]"
186	who has the most 70 point games in nba history	"Wilt Chamberlain | Chamberlain, Wilt | Booker, Devin | Wilt Chamberlain*"	Kareem Abdul-Jabbar	No	"[[0.9625723361968994, 0.03742770850658417], [0.9548588395118713, 0.04514112323522568], [0.9664453268051147, 0.033554743975400925], [0.9476876258850098, 0.052312444895505905]]"
187	where is the slide placed on the microscope	stage | on the microscope's stage	The slide is placed on the stage of the microscope.	Yes	"[[0.012017806991934776, 0.9879822134971619], [0.010256198234856129, 0.9897437691688538]]"
188	where is the slide placed on the microscope	stage | on the microscope's stage	stage	Yes	"[[0.01095457561314106, 0.9890455603599548], [0.12409508973360062, 0.87590491771698]]"
189	where is the slide placed on the microscope	stage | on the microscope's stage	On the stage	Yes	"[[0.010752442292869091, 0.9892476201057434], [0.05578702315688133, 0.9442129731178284]]"
190	what is the oasis in ready player one	a virtual reality simulator	virtual reality	Yes	"[[0.01532229594886303, 0.9846776723861694]]"
191	what is the oasis in ready player one	a virtual reality simulator	virtual reality entertainment universe	Yes	"[[0.14055080711841583, 0.8594490885734558]]"
192	what is the oasis in ready player one	a virtual reality simulator	A virtual reality world	Yes	"[[0.018523233011364937, 0.9814766645431519]]"
193	what is the oasis in ready player one	a virtual reality simulator	"The Oasis in Ready Player One is a virtual reality world created by James Halliday. It is a massive online universe where people can interact, play games, and explore."	Yes	"[[0.3340616226196289, 0.6659383773803711]]"
194	what is the oasis in ready player one	a virtual reality simulator	parzival	No	"[[0.9641226530075073, 0.03587744012475014]]"
195	who was involved in the mapp vs ohio case	Dollree Mapp	Dolly Mapp	No	"[[0.8621007800102234, 0.1378992199897766]]"
196	who was involved in the mapp vs ohio case	Dollree Mapp	Edward Keeling	No	"[[0.9457434415817261, 0.05425658077001572]]"
197	who was involved in the mapp vs ohio case	Dollree Mapp	dollree mapp	Yes	"[[0.009733876213431358, 0.9902662038803101]]"
198	who was involved in the mapp vs ohio case	Dollree Mapp	Potter Stewart	No	"[[0.93356853723526, 0.06643148511648178]]"
199	who was involved in the mapp vs ohio case	Dollree Mapp	United States	No	"[[0.9449010491371155, 0.05509895831346512]]"
200	who was involved in the mapp vs ohio case	Dollree Mapp	"The Mapp v. Ohio case was a landmark decision by the United States Supreme Court in 1961 that held that evidence obtained in violation of the Fourth Amendment, which protects against unreasonable searches and seizures, could not be used in state criminal prosecutions. The case was brought by Dollree Mapp, who was convicted of possessing obscene materials after police officers searched her home without a warrant."	Yes	"[[0.013428401201963425, 0.9865714907646179]]"
201	who was involved in the mapp vs ohio case	Dollree Mapp	don king	No	"[[0.9431045651435852, 0.056895460933446884]]"
202	who is known as the father of indian constitution	Bhimrao Ramji Ambedkar	bhimrao ramji ambedkar	Yes	"[[0.010933445766568184, 0.9890666007995605]]"
203	who is known as the father of indian constitution	Bhimrao Ramji Ambedkar	Dr. B.R. Ambedkar is known as the father of the Indian Constitution.	Yes	"[[0.23501446843147278, 0.7649855017662048]]"
204	who is known as the father of indian constitution	Bhimrao Ramji Ambedkar	B. R. Ambedkar	Yes	"[[0.38985389471054077, 0.6101460456848145]]"
205	where did this case of product tampering occur	the Chicago metropolitan area	Tylenol	No	"[[0.9654367566108704, 0.03456331044435501]]"
206	where did this case of product tampering occur	the Chicago metropolitan area	the bottling plant	No	"[[0.9656121730804443, 0.03438787907361984]]"
207	where did this case of product tampering occur	the Chicago metropolitan area	Unknown.	No	"[[0.9569440484046936, 0.043055806308984756]]"
208	where did this case of product tampering occur	the Chicago metropolitan area	the United States	No	"[[0.9580132961273193, 0.04198679327964783]]"
209	where did this case of product tampering occur	the Chicago metropolitan area	us	No	"[[0.9555978775024414, 0.044402074068784714]]"
210	where did this case of product tampering occur	the Chicago metropolitan area	united states	No	"[[0.9578069448471069, 0.042193084955215454]]"
211	where did this case of product tampering occur	the Chicago metropolitan area	The Bay Area Laboratory Co-operative	No	"[[0.9633663892745972, 0.0366336852312088]]"
212	where did this case of product tampering occur	the Chicago metropolitan area	never solved	No	"[[0.9611453413963318, 0.038854748010635376]]"
213	who plays rachel on jessie punch dumped love	Isabella Palmieri	Kristen Bell	No	"[[0.9593035578727722, 0.0406963974237442]]"
214	who plays rachel on jessie punch dumped love	Isabella Palmieri	Unknown.	No	"[[0.9538460969924927, 0.046153925359249115]]"
215	who plays rachel on jessie punch dumped love	Isabella Palmieri	Emily Watson	No	"[[0.9580627679824829, 0.04193713143467903]]"
216	who plays rachel on jessie punch dumped love	Isabella Palmieri	Debby Ryan	No	"[[0.9609817862510681, 0.03901822865009308]]"
217	who plays rachel on jessie punch dumped love	Isabella Palmieri	Rachel Wilson	No	"[[0.9575145840644836, 0.04248543083667755]]"
218	who plays rachel on jessie punch dumped love	Isabella Palmieri	Bre Blair	No	"[[0.9607218503952026, 0.039278220385313034]]"
219	who plays rachel on jessie punch dumped love	Isabella Palmieri	Sarah Ann McKinnon	No	"[[0.9613867402076721, 0.03861328214406967]]"
220	who plays rachel on jessie punch dumped love	Isabella Palmieri	Rachel Fielding	No	"[[0.9242132306098938, 0.07578681409358978]]"
221	who plays rachel on jessie punch dumped love	Isabella Palmieri	eva bourne	No	"[[0.9606808423995972, 0.03931906446814537]]"
222	who plays rachel on jessie punch dumped love	Isabella Palmieri	szohr	No	"[[0.9591348171234131, 0.04086511582136154]]"
223	when did mcgee became a regular on ncis	in season two | season two	season two	Yes	"[[0.012212480418384075, 0.9877876043319702], [0.011252573691308498, 0.9887473583221436]]"
224	when did mcgee became a regular on ncis	in season two | season two	"McGee became a regular on NCIS in the show's third season, which premiered in September 2005."	Yes	"[[0.22839464247226715, 0.7716053128242493], [0.348696768283844, 0.6513031721115112]]"
225	when did mcgee became a regular on ncis	in season two | season two	Season 3	Yes	"[[0.32940584421157837, 0.6705940961837769], [0.2622034549713135, 0.7377966046333313]]"
226	when did american idol end the first time	"April 7, 2016"	"April 7, 2016"	Yes	"[[0.009917647577822208, 0.9900822639465332]]"
227	when did american idol end the first time	"April 7, 2016"	April 7 2016	Yes	"[[0.009913742542266846, 0.9900862574577332]]"
228	when did american idol end the first time	"April 7, 2016"	"American Idol ended for the first time on April 7, 2016."	Yes	"[[0.012035666033625603, 0.9879642724990845]]"
229	when did american idol end the first time	"April 7, 2016"	"April 7 , 2016"	Yes	"[[0.009917647577822208, 0.9900822639465332]]"
230	do you have to have a gun permit to shoot at a range	"Typically, no"	not required in all jurisdictions	No	"[[0.9242660999298096, 0.07573387026786804]]"
231	do you have to have a gun permit to shoot at a range	"Typically, no"	"No, but you may need to provide proof of identity and pass a background check."	Yes	"[[0.32458171248435974, 0.6754183173179626]]"
232	do you have to have a gun permit to shoot at a range	"Typically, no"	no	Yes	"[[0.2878963351249695, 0.7121036648750305]]"
233	do you have to have a gun permit to shoot at a range	"Typically, no"	"Yes, you must have a valid gun permit to shoot at a range."	Yes	"[[0.15401862561702728, 0.8459814190864563]]"
234	who developed the central processing unit (cpu)	John von Neumann	john william mauchly	No	"[[0.8485097289085388, 0.15149033069610596]]"
235	who developed the central processing unit (cpu)	John von Neumann	Intel Corporation.	No	"[[0.9351809024810791, 0.06481911242008209]]"
236	who developed the central processing unit (cpu)	John von Neumann	John von Neumann	Yes	"[[0.009520691819489002, 0.9904792904853821]]"
237	who developed the central processing unit (cpu)	John von Neumann	Intel	No	"[[0.9460697174072266, 0.053930263966321945]]"
238	who developed the central processing unit (cpu)	John von Neumann	federico faggin	No	"[[0.957606852054596, 0.04239315167069435]]"
239	how did leo dalton die in silent witness	in an explosion	explosion	Yes	"[[0.009729435667395592, 0.9902705550193787]]"
240	how did leo dalton die in silent witness	in an explosion	contracted polio	No	"[[0.9342691898345947, 0.06573081016540527]]"
241	how did leo dalton die in silent witness	in an explosion	Leo Dalton died in Silent Witness after being shot by a sniper while trying to protect a witness.	No	"[[0.5357012152671814, 0.4642988443374634]]"
242	how did leo dalton die in silent witness	in an explosion	in an explosion	Yes	"[[0.00926870759576559, 0.9907312989234924]]"
243	how did leo dalton die in silent witness	in an explosion	polio	No	"[[0.942295253276825, 0.05770476534962654]]"
244	how did leo dalton die in silent witness	in an explosion	He was shot by a sniper.	No	"[[0.9266587495803833, 0.07334116846323013]]"
245	how did leo dalton die in silent witness	in an explosion	a heart attack	No	"[[0.9275480508804321, 0.07245195657014847]]"
246	where does the last name tavarez come from	Spanish	"The last name Tavarez is of Spanish origin and is derived from the personal name Távarez, which is a combination of the Germanic elements taw (forest) and ric (power)."	Yes	"[[0.009941738098859787, 0.990058183670044]]"
247	where does the last name tavarez come from	Spanish	Portugal	No	"[[0.9506084322929382, 0.04939168691635132]]"
248	where does the last name tavarez come from	Spanish	Portuguese	No	"[[0.9401957392692566, 0.05980425328016281]]"
249	where does the last name tavarez come from	Spanish	spanish	Yes	"[[0.010714302770793438, 0.9892855286598206]]"
250	when was i look at the world poem written	30â€“31 October 2000	2002	No	"[[0.9445560574531555, 0.05544395372271538]]"
251	when was i look at the world poem written	30â€“31 October 2000	I Look at the World was written by Rabindranath Tagore in 1921.	No	"[[0.9468145370483398, 0.053185347467660904]]"
252	when was i look at the world poem written	30â€“31 October 2000	1850	No	"[[0.9560759663581848, 0.043924104422330856]]"
253	when was i look at the world poem written	30â€“31 October 2000	1865	No	"[[0.9562205672264099, 0.04377935454249382]]"
254	when was i look at the world poem written	30â€“31 October 2000	2000	No	"[[0.7994607090950012, 0.2005392611026764]]"
255	when was i look at the world poem written	30â€“31 October 2000	1842	No	"[[0.9581759572029114, 0.04182405769824982]]"
256	who played tom on as the world turns	Tom Tammi | Scott Holmes | others | Peter Galman | C. David Colson | Gregg Marx | Justin Deas | Jason Kincaid (1984) | Jason Kincaid	Scott Holmes	Yes	"[[0.949181854724884, 0.05081804096698761], [0.009598658420145512, 0.9904012084007263], [0.9547511339187622, 0.04524890333414078], [0.9450578093528748, 0.054942358285188675], [0.9476436376571655, 0.0523562915623188], [0.9599857330322266, 0.04001427814364433], [0.9460634589195251, 0.05393657460808754], [0.9392277598381042, 0.06077233701944351], [0.9552362561225891, 0.044763777405023575]]"
257	who played tom on as the world turns	Tom Tammi | Scott Holmes | others | Peter Galman | C. David Colson | Gregg Marx | Justin Deas | Jason Kincaid (1984) | Jason Kincaid	justin deas	Yes	"[[0.950931191444397, 0.049068838357925415], [0.9638587236404419, 0.0361412949860096], [0.9612154364585876, 0.03878454118967056], [0.953230619430542, 0.04676934704184532], [0.9523468613624573, 0.04765321686863899], [0.9615046977996826, 0.038495197892189026], [0.010492709465324879, 0.9895071983337402], [0.9413450360298157, 0.05865499749779701], [0.9581629633903503, 0.04183696582913399]]"
258	who played tom on as the world turns	Tom Tammi | Scott Holmes | others | Peter Galman | C. David Colson | Gregg Marx | Justin Deas | Jason Kincaid (1984) | Jason Kincaid	Scott Holmes played Tom Hughes on As the World Turns from 1985 to 1986.	Yes	"[[0.26803168654441833, 0.731968343257904], [0.011575375683605671, 0.9884247183799744], [0.2583892047405243, 0.7416107654571533], [0.3885539770126343, 0.6114460229873657], [0.6399681568145752, 0.3600318431854248], [0.6369802951812744, 0.3630196750164032], [0.45072540640830994, 0.5492746829986572], [0.6316760182380676, 0.36832395195961], [0.6233971118927002, 0.37660282850265503]]"
